Airline,Departure_Time,Arrival_Time,Duration,Departure,Destination,Date,Total_Stops,SClass,Price
Vietnam Airlines,05:45,13:10,445,DAD,DLI,15-04-2025,1,ECONOMY,4659000
Vietnam Airlines,10:45,18:40,475,DAD,VCA,20-04-2025,1,ECONOMY,4786000
Vietnam Airlines,15:05,16:40,95,SGN,DAD,19-04-2025,0,ECONOMY,1358000
VietJet Air,13:25,15:30,125,SGN,THD,15-04-2025,0,PREMIUM_ECONOMY,4702000
Vietravel Airlines,20:20,21:40,80,DAD,HAN,21-04-2025,0,ECONOMY,2407000
VietJet Air,07:05,09:20,135,SGN,VDO,19-04-2025,0,ECONOMY,1302000
Vietnam Airlines,08:10,19:50,700,VCS,DLI,18-04-2025,1,ECONOMY,2316000
Vietnam Airlines,09:00,15:00,360,SGN,TBB,17-04-2025,1,BUSINESS,12503000
Vietnam Airlines,08:15,15:30,435,DAD,DLI,18-04-2025,1,ECONOMY,4330000
Vietnam Airlines,06:50,21:10,860,VCS,DAD,19-04-2025,1,ECONOMY,2250000
Bamboo Airways,09:55,19:40,585,CAH,PQC,20-04-2025,1,ECONOMY,5508000
Vietnam Airlines,08:25,19:10,645,HUI,VDH,19-04-2025,2,ECONOMY,6663000
VietJet Air,15:00,16:20,80,DAD,HAN,16-04-2025,0,ECONOMY,2265900
Vietnam Airlines,12:00,20:50,530,UIH,VDO,17-04-2025,1,ECONOMY,2204000
Vietnam Airlines,12:45,17:30,285,PQC,DAD,16-04-2025,1,ECONOMY,3444000
Vietnam Airlines,10:05,15:25,320,VDH,VCS,19-04-2025,1,ECONOMY,3481000
Vietnam Airlines,09:10,15:40,390,DAD,PQC,21-04-2025,1,ECONOMY,4337000
Vietnam Airlines,09:50,18:25,515,PXU,DAD,21-04-2025,1,ECONOMY,3060000
Vietnam Airlines,09:15,14:55,340,VII,CXR,17-04-2025,1,BUSINESS,8983000
Vietnam Airlines,13:00,19:10,370,SGN,VDH,15-04-2025,1,ECONOMY,2967000
Vietnam Airlines,14:50,16:00,70,BMV,SGN,20-04-2025,0,ECONOMY,993000
